lat,lon,alt,date,device,os,version
42.3072891235,-71.4349594116,16.7557067871,2017-02-02 22:51:44,"iPhone8,2",10.2,1.1
42.2839241028,-71.5040588379,16.7557067871,2017-02-02 22:56:00,"iPhone8,2",10.2,1.1
42.2717323303,-71.5423202515,16.7557067871,2017-02-02 23:02:24,"iPhone8,2",10.2,1.1
42.2236328125,-71.7016067505,16.7557067871,2017-02-02 23:06:40,"iPhone8,2",10.2,1.1
42.2055969238,-71.8063430786,155.493347168,2017-02-02 23:10:56,"iPhone8,2",10.2,1.1
42.1745376587,-71.9200134277,158.504592896,2017-02-02 23:17:20,"iPhone8,2",10.2,1.1
42.140953064,-72.0225830078,158.504592896,2017-02-02 23:23:44,"iPhone8,2",10.2,1.1
42.1140365601,-72.072517395,158.504592896,2017-02-02 23:28:00,"iPhone8,2",10.2,1.1
42.0198020935,-72.1503448486,158.504592896,2017-02-02 23:32:16,"iPhone8,2",10.2,1.1
41.940788269,-72.2234725952,235.665161133,2017-02-02 23:38:40,"iPhone8,2",10.2,1.1
41.8970031738,-72.2975997925,242.521972656,2017-02-02 23:45:04,"iPhone8,2",10.2,1.1
41.8531036377,-72.416595459,171.627883911,2017-02-02 23:49:20,"iPhone8,2",10.2,1.1
41.820980072,-72.5018997192,171.627883911,2017-02-02 23:55:44,"iPhone8,2",10.2,1.1
41.8104171753,-72.5146255493,56.5543823242,2017-02-03 00:00:00,"iPhone8,2",10.2,1.1
41.8116531372,-72.5253143311,59.969291687,2017-02-03 00:32:00,"iPhone8,2",10.2,1.1
41.7838935852,-72.5806884766,59.969291687,2017-02-03 00:38:24,"iPhone8,2",10.2,1.1
41.7395210266,-72.6538925171,59.969291687,2017-02-03 00:42:40,"iPhone8,2",10.2,1.1
41.6380386353,-72.6826019287,47.6919174194,2017-02-03 00:49:04,"iPhone8,2",10.2,1.1
41.5458183289,-72.7493591309,110.439178467,2017-02-03 00:55:28,"iPhone8,2",10.2,1.1
41.4761924744,-72.773475647,110.439178467,2017-02-03 01:01:52,"iPhone8,2",10.2,1.1
41.4109077454,-72.8313522339,86.078918457,2017-02-03 01:06:08,"iPhone8,2",10.2,1.1
41.3260879517,-72.8902587891,9.3178319931,2017-02-03 01:12:32,"iPhone8,2",10.2,1.1
41.2561607361,-72.9912414551,6,2017-02-03 01:21:04,"iPhone8,2",10.2,1.1
41.2246208191,-73.0790634155,15.126666069,2017-02-03 01:27:28,"iPhone8,2",10.2,1.1
41.17552948,-73.1673660278,12.3912830353,2017-02-03 01:31:44,"iPhone8,2",10.2,1.1
41.149394989,-73.2510452271,7.99868488312,2017-02-03 01:36:00,"iPhone8,2",10.2,1.1
41.1099472046,-73.4086837769,7.99868488312,2017-02-03 01:46:40,"iPhone8,2",10.2,1.1
41.0701332092,-73.5057907104,36.3108177185,2017-02-03 01:50:56,"iPhone8,2",10.2,1.1
41.0168418884,-73.6364822388,11.4335403442,2017-02-03 01:59:28,"iPhone8,2",10.2,1.1
40.9753570557,-73.7160568237,23.9474582672,2017-02-03 02:03:44,"iPhone8,2",10.2,1.1
40.922416687,-73.775062561,18.9909229279,2017-02-03 02:08:00,"iPhone8,2",10.2,1.1
40.874835968,-73.8348617554,15.4035358429,2017-02-03 02:14:24,"iPhone8,2",10.2,1.1
40.8264846802,-73.8561706543,9.31517314911,2017-02-03 02:18:40,"iPhone8,2",10.2,1.1
40.7976379395,-73.9199676514,20.6587924957,2017-02-03 02:22:56,"iPhone8,2",10.2,1.1
40.7624893188,-73.9022598267,5.92013549805,2017-02-03 02:29:20,"iPhone8,2",10.2,1.1
40.7280006409,-73.9288253784,39.8658752441,2017-02-03 02:33:36,"iPhone8,2",10.2,1.1
40.6960525513,-73.983833313,15.2113046646,2017-02-03 02:42:08,"iPhone8,2",10.2,1.1
40.7154083252,-73.9931945801,15.2113046646,2017-02-03 02:46:24,"iPhone8,2",10.2,1.1
40.7097320557,-73.9922027588,13.1704397202,2017-02-03 02:50:40,"iPhone8,2",10.2,1.1
40.6795463562,-74.0043563843,13.9006061554,2017-02-03 02:59:12,"iPhone8,2",10.2,1.1
40.6642379761,-73.9919128418,31.2781524658,2017-02-03 03:05:36,"iPhone8,2",10.2,1.1
40.664226532,-73.991569519,30.9006214142,2017-02-03 12:45:52,"iPhone8,2",10.2,1.1
40.6822662354,-73.9909210205,26.9906196594,2017-02-03 13:02:56,"iPhone8,2",10.2,1.1
40.6808662415,-73.9965896606,30.205493927,2017-02-03 14:26:08,"iPhone8,2",10.2,1.1
40.6763076782,-73.998664856,31.9566230774,2017-02-03 14:34:40,"iPhone8,2",10.2,1.1
40.672203064,-73.992767334,28.5381736755,2017-02-03 15:08:48,"iPhone8,2",10.2,1.1
40.6685409546,-73.9869003296,32.8123130798,2017-02-03 15:21:36,"iPhone8,2",10.2,1.1
40.66431427,-73.9915771484,30.8465232849,2017-02-03 15:42:56,"iPhone8,2",10.2,1.1
40.6685066223,-73.9964065552,9.72621536255,2017-02-04 16:34:08,"iPhone8,2",10.2,1.1
40.7008552551,-73.9982681274,5.90879011154,2017-02-04 16:42:40,"iPhone8,2",10.2,1.1
40.7398529053,-73.8965148926,13.0882997513,2017-02-04 16:53:20,"iPhone8,2",10.2,1.1
40.7496185303,-73.8864135742,22.3886508942,2017-02-04 16:57:36,"iPhone8,2",10.2,1.1
40.7487754822,-73.8931274414,23,2017-02-04 17:08:16,"iPhone8,2",10.2,1.1
40.7523345947,-73.8852844238,21.21616745,2017-02-04 18:03:44,"iPhone8,2",10.2,1.1
40.7489967346,-73.8912506104,23.2149562836,2017-02-04 18:42:08,"iPhone8,2",10.2,1.1
40.7492485046,-73.8974075317,14.2449636459,2017-02-04 20:33:04,"iPhone8,2",10.2,1.1
40.7522697449,-73.9285583496,8.07975959778,2017-02-04 20:37:20,"iPhone8,2",10.2,1.1
40.7542152405,-73.9643478394,8.93507766724,2017-02-04 20:45:52,"iPhone8,2",10.2,1.1
